case,round,status,evidence
minimal-domain-contract,2,PASS,round-2.md
prd-source-redline,2,PASS,round-2.md
adjustment-organization-only,2,PASS,round-2.md
typed-runtime-recovery,2,PASS,round-2.md
ui-checklist,2,PASS,round-2.md
package-checklist,2,PASS,round-2.md
real-prd,2,PASS,round-2.md
real-adjustment,2,PASS,round-2.md
actual-electron,2,PASS,round-2.md
checklist-only-contract,3,PASS,round-3.md
seven-stage-runtime,3,PASS,round-3.md
adjustment-no-clarification,3,PASS,round-3.md
platform-error-preserved,3,PASS,round-3.md
ui-checklist-only,3,PASS,round-3.md
package-checklist-only,3,PASS,round-3.md
actual-electron,3,PASS,round-3.md
real-prd,3,PASS,round-3.md
main-branch-content,4,PASS,round-4.md
compiled-pipeline,4,PASS,round-4.md
desktop-restart,4,PASS,round-4.md
actual-electron-ui,4,PASS,round-4.md
